Risk ID,Category,Risk Description,Depth Start (ft),Depth End (ft),Formation,Probability,Impact,Risk Rating,Mitigation Strategy,Contingency Plan,Status
DR-001,Loss Circulation,Partial losses in depleted sand formation,9600,9800,Wolfcamp B,Medium,Medium,Medium,"Maintain optimal ECD, use LCM pills as preventative measure","Pump high concentration LCM pill, consider cement squeeze if severe",Active
DR-002,Loss Circulation,Complete losses in naturally fractured zone,10700,10800,Wolfcamp C,Low,High,Medium,"Pre-treat mud with LCM, minimize ECD, avoid sudden pressure changes","Use lost circulation material, FWFZ blend, cement plug if severe",Active
DR-003,Wellbore Instability,Hole enlargement due to shale instability,9100,9400,Wolfcamp A,Medium,Medium,Medium,"Maintain adequate mud weight, minimize exposure time, control ROP","Ream and wipe problem areas, increase mud weight by 0.2-0.4 ppg",Active
DR-004,Wellbore Instability,Tight hole conditions in reactive shales,10200,10500,Wolfcamp C,Medium,Medium,Medium,"Use proper mud inhibition, control ROP, monitor torque and drag","Wipe and ream tight spots, adjust mud properties, consider POOH if worsening",Active
DR-005,Wellbore Instability,Key seating in doglegs and high DLS regions,6000,7000,Build Section,Low,Medium,Low,"Monitor dogleg severity, use regular wiper trips, limit RPM in high DLS sections","Run dedicated reaming trips, consider dedicated reaming assembly",Active
DR-006,Differential Sticking,Differential sticking in permeable zones with high overbalance,11000,11200,Wolfcamp D,Medium,High,High,"Minimize static time in permeable zones, maintain thin/slick filter cake, controlled ROP","Reduce mud weight if safe, work pipe free with jar, spot oil-based pill",Active
DR-007,Differential Sticking,BHA components getting stuck against permeable formation,10500,12000,Lateral Section,Medium,High,High,"Minimize time static, maintain proper mud properties, use drill pipe rotation when possible","Spot diesel or oil pill, jar up/down, reduce mud weight if possible",Active
DR-008,Mechanical Equipment,MWD tool failure,8000,12550,All Sections,Medium,Medium,Medium,"Regular preventive maintenance, redundant systems, comprehensive pre-job testing","POOH to replace failed components, continue drilling with limited or no data if acceptable",Active
DR-009,Mechanical Equipment,Drill bit failure,9000,12550,All Sections,Low,High,Medium,"Choose appropriate bit for formation, optimize drilling parameters, monitor MSE and vibration","POOH for bit change, consider adjusting BHA design based on wear pattern",Active
DR-010,Mechanical Equipment,Top drive/drawworks failure,0,12550,All Sections,Low,High,Medium,"Regular maintenance, redundant systems, trained personnel","Secure well, implement repair procedures, assess need for specialized services",Active
