Date,Well ID,Report No,Report Period,Rig,Current Depth (ft),Footage (24hr),ROP (ft/hr),Formation,Operations,NPT (hrs),Mud Weight (ppg),ECD (ppg),SPP (psi),Flowrate (gpm),RPM,Surface Torque (kft-lbs),WOB (klbs),Gas Units (%),Connection Gas,Background Gas,Comments,Safety
2024-04-01,PERM-W023,24,00:00-23:59,Nabors 711,8456,876,36.5,Wolfcamp A,"Drilling 12.25"" hole section",2.5,10.2,10.8,3250,850,120,11.2,25,2.1,2.5,1.8,"Experienced tight hole at 8320', reamed and washed prior to resuming drilling",No incidents
2024-04-02,PERM-W023,25,00:00-23:59,Nabors 711,9245,789,32.9,Wolfcamp B,"Drilling 12.25"" hole section",1.0,10.4,11.0,3380,840,115,12.5,28,2.8,3.2,2.1,"Increased mud weight due to pressure trend, Formation shows good drilling characteristics",No incidents
2024-04-03,PERM-W023,26,00:00-23:59,Nabors 711,9780,535,22.3,Wolfcamp B,"Drilling 12.25"" hole section, POOH for bit change",5.5,10.5,11.1,3450,830,110,14.2,26,3.1,3.5,2.4,"Bit showing significant wear, decided to trip out. Partial losses observed at 9650-9680'",No incidents
2024-04-04,PERM-W023,27,00:00-23:59,Nabors 711,10250,470,19.6,Wolfcamp C,"Drilling 12.25"" hole, running surveys",3.0,10.8,11.4,3520,820,108,15.1,27,3.5,4.2,2.7,"Encountered high-pressure zone at 10120', adjusted mud weight and drilling parameters",Near miss - slip & fall
2024-04-05,PERM-W023,28,00:00-23:59,Nabors 711,10865,615,25.6,Wolfcamp C,"Drilling 12.25"" hole, circulating bottoms up",1.5,11.0,11.7,3580,810,105,16.2,25,4.1,4.8,3.2,"Good directional control, all parameters within normal range, minor losses at 10750'",No incidents
2024-04-06,PERM-W023,29,00:00-23:59,Nabors 711,11352,487,20.3,Wolfcamp D,"Drilling 12.25"" hole, MWD failure",6.0,11.2,11.9,3650,800,102,17.5,24,4.5,5.2,3.5,"MWD tool failure at 11040', POOH to repair and RIH with new MWD assembly",No incidents
2024-04-07,PERM-W023,30,00:00-23:59,Nabors 711,12025,673,28.0,Bone Spring,"Drilling 12.25"" hole section, circulating and conditioning hole",2.5,11.4,12.1,3750,790,100,18.1,22,5.2,5.8,3.9,"Transitioning to Bone Spring formation, adjusting parameters for optimal performance",No incidents
2024-04-08,PERM-W023,31,00:00-23:59,Nabors 711,12550,525,21.9,Bone Spring,"Reached TD 12.25"" hole, POOH, prepare to run casing",8.0,11.5,12.2,3820,780,95,19.0,20,5.5,6.1,4.1,"Reached TD of 12.25"" section, hole in good condition, circulating and conditioning before casing run",No incidents
2024-04-09,PERM-W023,32,00:00-23:59,Nabors 711,12550,0,0.0,Bone Spring,"Run and cement 9.625"" casing",14.0,11.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Ran casing to TD without issues, good cement returns observed. Preparing to test BOP and nipple up",No incidents
2024-04-10,PERM-W023,33,00:00-23:59,Nabors 711,12550,0,0.0,Bone Spring,"WOC, nipple up BOP, test BOP",10.0,11.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"BOP test successful, pressure tests on casing also successful. Preparing to drill out cement",No incidents 
